ngo_id,date_added,latin_name,arabic_name,country,address,governorate,phone,email,date_of_creation,type_of_organization,target_group,president,director,secretary_general,treasurer,missions_and_goals,impact_of_ong,activities,building_networks_and_alliances,other,publications,training_and_capacity_building,research_resources_and_production,exchange_of_information_know-how_and_experience,website
2,2014-11-06 21:49:27.636632,Association de Sauvegarde et Développement de la Médina du Kef,جمعية  صيانة وإحياء مدينة الكاف,تونس/Tunisia,61 حي الازدهار الكاف 7100,الكاف,+216 93477581,asmkef@yahoo.fr,0000-00-00,ثقافية,"الشباب, النساء, المؤسسات",عمار ثلجان,حسام الشارني,صلاح العويتي,طارق مرابو,"تنمية روح المبادرة, نشر ثقافة حقوق الإنسان والمواطنة, حماية التراث والمعالم التاريخية, التنمية",جهوي,"نشر كتاب يعنى بإبراز أهم الخصائص التاريخية والثقافية لولاية الكاف, تنظيم مهرجان ميتو",مساعدة الجمعية على بناء تحالفات وعلى التشبيك مع منظمات المجتمع المدني في العالم العربي,تنظيم أنشطة بالجهة تعنى بموضوع الحوكمة والمواطنة ومقاومة العنف ضد المرأة والتنمية,,,,,
3,2014-11-06 21:49:38.750578,ACECL,مبدعون ملتزمون من أجل ثقافة حرة,تونس/Tunisia,24، نهج الإمام سحنون حي النخيل1-جندوبة-,جندوبة,"+216 28514533, +216 20792736",bassemos1@hotmail.fr,2011-12-12,ثقافية,شياب وأطفال المناطق الريفية,خليل وسلاتي,,إيمان الورتاني,زياد مناعي,"دعم مختلف أشكال التعبير الفني, تعزيز مبادئ المواطنة والديمقراطية وإحترام الإختلاف, تشريك مختلف فئات المجتمع في الحراك الثقافي",جهوي,"تنظيم ورشة عمل حول الاستعمار الثقافي والمركزية, معرض فن تشكيلي, تظاهرة بعنوان دور المجتمع المدني في تكريس الحقوق الإقتصادية و الإجتماعية و الثقافية, حملة تعريف بمبادئ الديمقراطية التشاركية",,,بصدد إعداد نشرية خاصة بالجمعية,المشاركة في الدورات التدريبية التي ينظمها المعهد العربي لدعم قدراتنا في مجال حقوق الإنسان,تبادل المنشورات ودعم مكتبة الجمعية بالمنشورات,,
4,2014-11-06 21:49:46.914315,ATDD,جمعية العمل من أجل التنمية والديمقراطية,تونس/Tunisia,دار الثقافة عمار فرحات بباجة,باجة,"+216 23621075, +216 98671465",riahikarim@gmail.com,2012-03-05,تنموية,كافة الفئات,رفيق الفطحلي,,شاذلية الوزباشي,معز الورهاني,"المساهمة في نشر ثقافة العمل كقيمة حضارية ووطنية, نشر ثقافة الديمقراطية كوحدة شاملة تجمع بين الأبعاد السياسية والاقتصادية والاجتماعية والثقافية والمساهمة في تكريسها وتنميتها",جهوي,"تنظيم لقاءات توعية مع الأحزاب والمستقليين أثناء الحملة الانتخابية لاحترام قواعد تنظيم الحملة الانتخابية, تنظيم معرض حول ثورة 14 جانفي, تنظيم مجموعة من الزيارات الميدانية للمناطق التي اجتاحتها الفيضانات",,تخصيص فضاءات للحوار بين الجمعيات,,تنظيم دورات تدريبية لدعم القدرات في مجال حقوق الإنسان,توفير منشورات المعهد العربي للمكتبة الجمعية,التنسيق بين الجمعيات بخصوص تبادل المعرفة والتجارب,
5,2014-11-06 21:49:53.167073,Association Alhassad pour la culture à Amdoun,جمعية الحصاد للثقافة بعمدون,تونس/Tunisia,173، ساحة الاستقلال زهرة مدين 9030 عمدون,باجة,"+216 96016072, +216 20301603",alhassad@netcourrier.com,2012-03-18,ثقافية,كافة  فئات المجتمع,معز المديني,فوزي البراهمي,توفيق الدخلي,شوقي الجبري,"نشر ثقافة حقوق الانسان والمواطنة, تطوير الحسّ المدني والتطوعي",جهوي,"تنظيم ندوة حول المجتمع المدني, تنظيم ندوة حول التنمية الجهوية, تنظيم حصة تدريبية يعنوان تقوية الذاكرة والاستعداد للإمتحانات, محاضرة في التنمية البشرية بعوان تقوية الذاكرة والاستعداد للامتحانات",,تنظيم دورات تدريبية جهوية في كل ولايات الجمهورية التونسية,محاضرات وعروض مسرحية وأفلام وتنطيم ورشات رسم,تكثيف االدورات التدريبية في مجال دعم القدرات,,,
9,2014-11-06 21:50:29.588687,ATEC,الجمعية التونسية للبيئة والثقافة,تونس/Tunisia,03 نهج صالح عباس، عمارة التنبس، الكاف 7100,الكاف,+216 24292769,,2011-11-19,ثقافية وبيئية,"منظمات المجتمع المدني, الأطفال  والشباب",عدنان التبسي,شكري برسيس,نوفل الكوسان,بوصلاح محمد,"حماية الموارد البيئة والمحافظة عليها وتنميتها, التنسيق مع المجلس البلدي والمندوبيات الثقافية, تزويق مداخل المدن, تنشيط الساحة الثقافية",,"تشجير عدة مناطق بمدينة الكاف, تزويق مدخل المدينة, التنسيق مع المجلس البلدي والقيام بحملات  نظافة وتوعية حول حماية البيئة والمحيط, تنظيف وحماية المقابر",,,,,,,
10,2014-11-06 21:50:43.754215,Association Sanabel  pour le développement,جمعية سنابل للتنمية,تونس/Tunisia,المركز الجهوي لاتحاد الصناعة والتجارة بجندوبة,جندوبة,,,2011-04-01,تنموية,متساكني المناطق النائية,رمزي البوسلمي,,طارق العمراوي,عبد الكريم العبيدي,"بعث مشاريع تنموية بالجهة مستمدة من ثروات وقدرات الجهة, تكوين باعثي المشاريع وخلق مسالك مسالك للتوزيع لضمان نجاح المشروع",جهوي,المشاركة في الملتقيات الجهوية للتنمية بمقر الولاية,,,,,,,
11,2014-11-06 21:50:50.861236,Jeunes sans Frontières JSFJ,شباب بلا حدود,تونس/Tunisia,42، شارع الشداذلي قلالة، تونس,تونس/Tunisia,"+ 216 24292769, + 216 78204443",nakoussani@hotmail.fr,2011-03-14,حقوقية,كافة شرائح المجتمع وبدرجة أولى الشباب والمرأة,جلال الحداد,أحمد علوش (نائب الرئيس),حاتم الشابي,منذر حمدي,نشر ثقافة االمواطنة وأسس الديمقراطية,,"توعية وتحسيس النساء والمواطنين والشباب فوق 18 سنة بأهمية المشاركة في الانتخابات بمناطق الشمال الغربي والجنوب التونسي وتونس العاصمة, المشاركة في عملية مراقبة الانتخابات, الإشراف على برنامج تكوين لـ 600 قيادية نسائية في مجال حقوق الانسان يمتد إلى غاية سنة 2013",,,مواصلة نفس المشروع,,,,https://www.facebook.com/JSF.TUNISIE
12,2014-11-06 21:51:00.007444,Association GUIRAS,جمعية غراس,تونس/Tunisia,دار الثقافة بغمراسن,تطاوين,"+216 98438122, +216 75868199",naima_aljame@yahoo.fr,2011-03-05,ثقافية,النساء,نعيمة علجان,,فتحية بن عياد,جوهرة الخرشاني,"دعم مشاركة المراة في الحياة العامة والنهوض بالمستوى الفكري  والثقافي للمجتمع, النهوض يالمستوى الفكري والثقافي للمجتمع",جهوي,"تنظيم ندوة حول المراهقة, تنظيم  حفل تنشيطي بعد الدورة الولى للباكالوريا, تنظيم ندوة بالتعاون مع جمعية المستقبل بباريس حول دفع المراة للتعبير عن مشاكلها",,,,تكثيف الدورات التكوينية في مجال دعم القدرات وكتابة المشاريع,,,
13,2014-11-06 21:51:11.115840,Association Féminine Nour  for Charity,جمعية نور النسائية للأعمال الخيرية,تونس/Tunisia,دار الشعب,تطاوين,"+216 28 611411, +216 24 080 307",sabrine.w@hotmail.fr,2011-04-19,نسوية,النساء,صبرين الوافي,,رضوان المليح,نبيه بن عمارة,"توعية المرأة بحقوقيها ومكتسباتها في المجتمع وإشراكها في الحياة السياسية والثقافية والاجتماعية, محاولة التخفيض من نسبة الفقر بتحسين المستوى العيشي للعائلات المعوزة ، الأرامل والمطلقات والعوانس",جهوي,"حملة توعية في المواطنة بكامل المعتمديات, حملة في مجال التعليم بجمع التبرعات, تقديم الإغاثة لالآجئين, إعداد موائد للإفطار في رمضان, تقديم مساعدات للعائلات المعوزة",,,,تكثيف الدورات التكوينية حول حقوق المرأة وتوثيق الانتهاكات وتقصي الحقائق واستعمال التكنولوجيا الحديثة لابلاغ عن التجاوزات والانتهاكات,,,
14,2014-11-06 21:51:18.228723,Association al Kawthar,جمعية الكوثر,تونس/Tunisia,عمارة اللّموسي، نهج حسن بربوش 7100 الكاف,الكاف,+216 22033223,iteb66@hotmail.fr,2011-03-01,خيرية,"الأيتام, ذو الاحتيات الخصوصية, ذوو الأمراض المزمنة, التلاميذ والطلبة, العاطلين عن العمل",عتاب بوليفة,,خالد هميلة,منذر شنوفي,"إعانة العائلات المعوزة في جهة الكاف, نشر ثقافة المواطنة, تنظيم أنشطة ثقافية للعائلات المعوزة, مساعدة العائلات المعوزة ومدّها بالمواد الغذائية والملابس",جهوي,"المساهمة في ترميم مقر بلدية الكاف بعد حرقها أثناء الثورة, توزيع مساعدات غذائية على أكثر من ألف عائلة بالجهة, تنظيم أمسيات ثقافية بالجهة",,مساعدة الجمعية من أجل ايجاد مصادر تمويل لمشاريعها المستقبلية,,دعم قدرات أعضاء الجمعية في مجال التخطيط والتنظيم الاداري والعمل الجمعياتي,دعم مكتبة الجمعية بمنشورات المعهد العربي لحقوق الانسان,,
